,Year,Count,Prop,allergy
0,2015.0,5,0.09259259259259259,shellfish
1,2016.0,11,0.09734513274336283,shellfish
2,2017.0,9,0.04568527918781726,shellfish
3,2018.0,14,0.05622489959839357,shellfish
4,2019.0,17,0.05263157894736842,shellfish
5,2020.0,20,0.06153846153846154,shellfish
6,2021.0,20,0.136986301369863,shellfish
7,2022.0,24,0.07920792079207921,shellfish
8,2023.0,21,0.059322033898305086,shellfish
9,2016.0,5,0.09259259259259259,fish
10,2017.0,4,0.035398230088495575,fish
11,2018.0,13,0.06598984771573604,fish
12,2019.0,9,0.03614457831325301,fish
13,2020.0,9,0.02786377708978328,fish
14,2021.0,12,0.036923076923076927,fish
15,2022.0,26,0.1780821917808219,fish
16,2023.0,12,0.039603960396039604,fish
17,2016.0,6,0.1111111111111111,eggs
18,2017.0,7,0.061946902654867256,eggs
19,2018.0,14,0.07106598984771574,eggs
20,2019.0,12,0.04819277108433735,eggs
21,2020.0,14,0.043343653250773995,eggs
22,2021.0,28,0.08615384615384615,eggs
23,2022.0,30,0.2054794520547945,eggs
24,2023.0,25,0.08250825082508251,eggs
25,2015.0,21,0.3888888888888889,Milk
26,2016.0,25,0.22123893805309736,Milk
27,2017.0,45,0.22842639593908629,Milk
28,2018.0,54,0.21686746987951808,Milk
29,2019.0,40,0.1238390092879257,Milk
30,2020.0,23,0.07076923076923076,Milk
31,2021.0,60,0.410958904109589,Milk
32,2022.0,69,0.22772277227722773,Milk
33,2023.0,49,0.1384180790960452,Milk
34,2014.0,8,0.14814814814814814,Tree Nuts
35,2015.0,18,0.1592920353982301,Tree Nuts
36,2016.0,40,0.20304568527918782,Tree Nuts
37,2017.0,55,0.22088353413654618,Tree Nuts
38,2018.0,84,0.26006191950464397,Tree Nuts
39,2019.0,86,0.26461538461538464,Tree Nuts
40,2020.0,33,0.22602739726027396,Tree Nuts
41,2021.0,61,0.20132013201320131,Tree Nuts
42,2022.0,75,0.211864406779661,Tree Nuts
43,2023.0,70,0.22364217252396165,Tree Nuts
44,2015.0,1,0.018518518518518517,Sesame
45,2016.0,4,0.035398230088495575,Sesame
46,2017.0,6,0.030456852791878174,Sesame
47,2018.0,4,0.01606425702811245,Sesame
48,2019.0,14,0.043343653250773995,Sesame
49,2020.0,9,0.027692307692307693,Sesame
50,2021.0,17,0.11643835616438356,Sesame
51,2022.0,22,0.07260726072607261,Sesame
52,2023.0,13,0.03672316384180791,Sesame
53,2016.0,11,0.2037037037037037,Soy
54,2017.0,5,0.04424778761061947,Soy
55,2018.0,15,0.07614213197969544,Soy
56,2019.0,8,0.0321285140562249,Soy
57,2020.0,6,0.018575851393188854,Soy
58,2021.0,12,0.036923076923076927,Soy
59,2022.0,21,0.14383561643835616,Soy
60,2023.0,8,0.026402640264026403,Soy
61,2015.0,47,0.8703703703703703,Gluten
62,2016.0,50,0.4424778761061947,Gluten
63,2017.0,53,0.26903553299492383,Gluten
64,2018.0,63,0.25301204819277107,Gluten
65,2019.0,63,0.19504643962848298,Gluten
66,2020.0,38,0.11692307692307692,Gluten
67,2021.0,80,0.547945205479452,Gluten
68,2022.0,100,0.33003300330033003,Gluten
69,2023.0,112,0.3163841807909605,Gluten
70,2015.0,10,0.18518518518518517,Vegan
71,2016.0,13,0.11504424778761062,Vegan
72,2017.0,18,0.09137055837563451,Vegan
73,2018.0,22,0.08835341365461848,Vegan
74,2019.0,18,0.05572755417956656,Vegan
75,2020.0,16,0.04923076923076923,Vegan
76,2021.0,25,0.17123287671232876,Vegan
77,2022.0,18,0.0594059405940594,Vegan
78,2023.0,9,0.025423728813559324,Vegan
79,2016.0,6,0.1111111111111111,Halal
80,2017.0,5,0.04424778761061947,Halal
81,2018.0,3,0.015228426395939087,Halal
82,2019.0,12,0.04819277108433735,Halal
83,2020.0,4,0.01238390092879257,Halal
84,2021.0,19,0.05846153846153846,Halal
85,2022.0,26,0.1780821917808219,Halal
86,2023.0,13,0.0429042904290429,Halal
87,2017.0,2,0.037037037037037035,Kosher
88,2018.0,1,0.008849557522123894,Kosher
89,2019.0,7,0.03553299492385787,Kosher
90,2020.0,4,0.01606425702811245,Kosher
91,2021.0,3,0.009287925696594427,Kosher
92,2022.0,6,0.018461538461538463,Kosher
93,2023.0,8,0.0547945205479452,Kosher
